"","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","moduleColor","GS.GDAT_BW","p.GS.GDAT_BW","GS.TG_nmol_gWW","p.GS.TG_nmol_gWW","GS.TG_nmol_gWW.1","p.GS.glucose_norm","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.yellow","p.MM.yellow","MM.red","p.MM.red","MM.pink","p.MM.pink","MM.grey","p.MM.grey","MM.green","p.MM.green"
"244","cysteine s-sulfate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","brown",-0.164118960508291,0.281351589775939,0.0267430184433661,0.86156649549169,-0.00311209113728566,0.983812748515214,-0.253220018732018,0.0932830431370826,0.464926048804472,0.00129203470538214,-0.0892545390770683,0.559856456579609,-0.651725498830904,1.23980245720956e-06,0.0901851234398723,0.555754901567408,0.103093683920369,0.500367531427686,0.487798618948209,0.00067646785730121,-0.0747973284606485,0.625322315840066,-0.257793626241843,0.0873213043040894
"245","cysteinylglycine disulfide*","Amino Acid","Glutathione Metabolism","brown",-0.215440012740274,0.155229702718842,-0.260190157982348,0.0843181213895628,-0.186567290339689,0.219776813171993,-0.0704933389251004,0.645408664217221,0.204809007428577,0.177145759291032,-0.0707487137936909,0.644209677989876,0.457371342686946,0.00158460374484295,0.332053958467161,0.0258502356631387,0.0218339938293338,0.886793956805209,-0.25147791016228,0.0956349866840409,-0.0810630207553392,0.596557453645668,-0.0759400366390765,0.620033398368133
"246","dihomolinoleate (20:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.167591149408519,0.271155854978095,0.0936335902952981,0.540680387376459,0.0971580331198126,0.525480432839341,0.331901118944691,0.0259228109248376,-0.421850016283488,0.0038982633116698,0.481110763246495,0.000821179710663082,0.96705886115287,3.50764132976784e-27,-0.152166367065721,0.318344903014501,-0.126540210326939,0.407496247253063,-0.503270997058261,0.000425382271490015,0.100779387111983,0.510085383048768,0.375389143857561,0.0110533396207116
"247","dihomolinolenate (20:3n3 or 3n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.330366774128781,0.0266608489126322,0.217274210015063,0.151658836787725,0.19703502885453,0.194521936250146,0.511922899363133,0.000325008321926706,-0.404731762141035,0.00582075693926133,0.290348544061002,0.0530128770052484,0.90176034047817,2.8934470199495e-17,-0.203747411585704,0.179450462437486,-0.211541553150019,0.163023137270874,-0.439833202073575,0.00250111684870502,0.00745212319715116,0.961250617192658,0.262490976471711,0.0815113290146335
"248","docosadienoate (22:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",-0.012071641500396,0.93726880395576,-0.109004506487476,0.47598446153253,-0.0279491808553577,0.855387839335916,0.0898446669731357,0.557253822624195,-0.317907740962844,0.0333261550046054,0.451824315597282,0.00183544512177773,0.88086931137511,1.47313573970054e-15,-0.0141979832492274,0.926247241428335,-0.162298245382382,0.286796934365245,-0.455363301648827,0.00167165498444002,0.169976094007051,0.264295971250237,0.384680841596338,0.00907665854589941
"249","docosahexaenoate (DHA; 22:6n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.276515923268811,0.065950204642396,0.127769942972569,0.402916563838658,0.171346513689043,0.260406873769021,0.434749603410922,0.0028423077325475,-0.494186516454665,0.000560040924306494,0.4265689946931,0.00347769514101484,0.912398732892423,2.74463371545178e-18,-0.305965365271353,0.0409506778237153,-0.128016610274934,0.402001539201927,-0.493294794502207,0.00057513050739119,0.135614694735109,0.374409302457594,0.42328606712778,0.00376579941866764
"250","docosapentaenoate (DPA; 22:5n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.34133272306178,0.0217508130130667,0.16486021822777,0.279154174851765,0.180400084362964,0.235675266750837,0.418447799517294,0.00422849651396005,-0.470284292963643,0.00111472805346172,0.404254916901901,0.00588441562018307,0.917475873393991,8.00705886299031e-19,-0.267599801109914,0.0755406058017794,-0.0726102116980615,0.635497057399427,-0.54597274813919,0.000104761153373764,0.0431490760973633,0.778374001948086,0.414528291799042,0.00463904542569659
"251","docosapentaenoate (n6 DPA; 22:5n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.176657653548589,0.245696548257906,0.144816960128324,0.342549078866185,0.0912037707548571,0.551281496276167,0.481791696294726,0.000805274602884894,-0.390685520756024,0.00796802366426037,0.517896910587142,0.000268751497923969,0.817494469946598,7.27163125017939e-12,-0.33263500506263,0.0255758727002978,-0.155711592719035,0.3070657678866,-0.413099835805809,0.00479709633361527,0.168609957750897,0.268211169049229,0.270964894216708,0.0717997075393961
"252","docosatrienoate (22:3n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.14881537378881,0.329243546433322,-0.0193364098077778,0.899673238331506,-0.0112156409100839,0.941709141307541,0.349825887025192,0.0184910255110432,-0.333553038943066,0.0251473424356743,0.44438446074468,0.00222685389299572,0.890469554912854,2.67191867028401e-16,-0.0667929247618881,0.662880654521815,-0.259858913049963,0.0847283477364907,-0.459635444385455,0.00149129853181566,0.0956259170637795,0.532062034714409,0.242908715599236,0.107876419158821
"253","docosatrienoate (22:3n6)*","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","brown",0.39740010595648,0.00686868116928532,0.321928090341847,0.0310396156872892,0.232263584311954,0.124708072270312,0.60018532660551,1.31296626213148e-05,-0.41975672877859,0.00409865869273004,0.351505856378501,0.0178977003430345,0.797761677671501,5.34880273200893e-11,-0.290051340876113,0.053267536976253,-0.208402341178174,0.169502637229016,-0.444652488653281,0.00221156482902098,-0.0814495306854138,0.594802231176438,0.181937289044183,0.231641020847695
